Age,MaritalStatus,Gender,AnnualIncome,TotalChildren,ChildrenAtHomeCount,EducationLevel,WorkClass,HomeOwnership,CarsOwned,StateProvinceCode,PostalCode,SnowBlowerBuyer
47,M,F,54000,0,0,Graduate Degree,Skilled Labor,1,0,WI,53144,0
51,S,M,61000,2,0,High School,Professional,0,2,WI,53145,1
55,M,M,90000,5,4,Some College,Professional,1,3,WI,53145,0
60,M,F,63000,2,1,Some College,Professional,1,2,WI,53145,1
62,M,M,65000,5,0,Bachelors,Management,0,3,WI,53146,1
63,M,F,68000,4,0,Bachelors,Management,1,2,WI,53146,1
67,S,F,33000,3,0,Some High School,Office,0,2,WI,53150,0
65,S,M,76000,2,1,Some College,Professional,1,2,WI,53151,0
86,M,F,68000,2,0,Graduate Degree,Management,1,2,WI,53151,0
69,S,M,26000,2,0,High School,Labor,0,2,WI,53158,1
55,S,F,52000,2,2,Bachelors,Skilled Labor,1,1,WI,53159,0
52,M,M,62000,4,0,Graduate Degree,Professional,1,0,WI,53161,0
57,M,M,77000,2,0,High School,Professional,0,2,WI,53161,0
52,S,F,87000,0,0,Bachelors,Management,1,1,WI,53162,1
49,M,M,95000,4,3,High School,Professional,1,1,WI,53164,0
46,S,F,52000,2,2,Bachelors,Skilled Labor,1,1,WI,53167,1
58,S,F,66000,2,1,Some College,Professional,1,1,WI,53168,1
51,M,F,77000,1,0,Graduate Degree,Skilled Labor,1,0,WI,53169,0
81,S,F,77000,4,0,Bachelors,Management,0,2,WI,53174,0
51,M,M,52000,1,1,Bachelors,Skilled Labor,1,1,WI,53178,1
32,M,F,67000,1,1,Graduate Degree,Skilled Labor,1,0,WI,53180,1
52,S,M,67000,4,2,Bachelors,Professional,1,2,WI,53180,1
87,M,F,75000,5,0,Bachelors,Management,1,2,WI,53180,0
55,M,F,62000,1,0,Some College,Skilled Labor,1,1,WI,53182,1
61,S,M,66000,2,0,Some High School,Skilled Labor,1,2,WI,53184,1
44,S,M,61000,2,0,High School,Professional,0,2,WI,53188,0
61,S,F,65000,2,1,Some College,Professional,0,2,WI,53188,1
62,S,M,76000,4,0,Bachelors,Management,1,2,WI,53189,1
30,S,F,27000,0,0,High School,Skilled Labor,1,2,WI,53190,0
46,S,M,92000,4,3,High School,Professional,1,2,WI,53191,0
67,S,F,63000,3,0,Graduate Degree,Management,1,2,WI,53191,1
47,M,M,68000,1,0,Some College,Skilled Labor,0,1,WI,53192,0
50,S,F,44000,0,0,Bachelors,Professional,0,1,WI,53192,1
53,S,F,81000,0,0,Some College,Professional,1,1,WI,53193,1
63,S,F,70000,2,1,Some College,Professional,1,1,WI,53195,0
47,S,M,89000,4,3,High School,Professional,1,2,WI,53200,0
56,S,F,67000,2,1,Some College,Professional,1,2,WI,53200,1
55,S,M,46000,4,4,Some College,Office,1,2,WI,53201,1
28,S,F,68000,3,0,Graduate Degree,Professional,0,0,WI,53204,1
55,M,M,83000,5,5,Some College,Professional,1,3,WI,53209,0
41,S,F,83000,5,0,Graduate Degree,Skilled Labor,1,0,WI,53213,0
42,S,M,23000,3,0,Some High School,Office,0,2,WI,53214,0
57,M,F,68000,3,0,Some College,Professional,0,2,WI,53215,1
29,S,F,47000,0,0,Some College,Skilled Labor,1,1,WI,53218,1
61,M,F,72000,5,0,Bachelors,Management,1,2,WI,53219,1
29,S,F,43000,4,4,Some College,Office,1,2,WI,53220,0
43,S,M,66000,0,0,Graduate Degree,Professional,1,0,WI,53220,1
89,M,F,77000,2,0,Graduate Degree,Management,1,2,WI,53225,0
52,S,F,55000,2,2,Bachelors,Skilled Labor,1,1,WI,53226,1
69,S,M,43000,3,0,Some College,Professional,1,2,WI,53226,0
30,S,M,46000,0,0,High School,Skilled Labor,1,2,WI,53227,0
47,M,M,76000,4,4,Bachelors,Skilled Labor,0,2,WI,53228,0
71,S,F,50000,2,0,Graduate Degree,Management,0,2,WI,53230,0
31,S,F,35000,0,0,Some College,Skilled Labor,0,1,WI,53231,0
86,M,M,58000,2,0,Graduate Degree,Management,1,2,WI,53234,0
28,S,F,45000,0,0,High School,Skilled Labor,0,2,WI,53235,1
61,M,M,74000,4,0,Bachelors,Management,1,2,WI,53239,0
44,S,F,67000,4,0,Graduate Degree,Skilled Labor,1,0,WI,53241,1
46,S,F,68000,0,0,Graduate Degree,Skilled Labor,0,0,WI,53242,0
29,S,M,42000,0,0,Some High School,Office,0,2,WI,53243,0
58,M,F,86000,5,0,Graduate Degree,Professional,1,0,WI,53243,1
50,M,F,66000,0,0,Graduate Degree,Professional,1,0,WI,53248,0
55,M,M,96000,4,3,High School,Professional,1,1,WI,53250,0
50,S,M,58000,0,0,Some College,Skilled Labor,0,1,WI,53254,0
47,M,M,60000,1,0,Graduate Degree,Skilled Labor,1,0,WI,53259,0
49,M,M,68000,1,0,Some College,Skilled Labor,1,1,WI,53263,1
53,M,F,75000,1,0,Some College,Skilled Labor,1,1,WI,53263,1
33,S,M,76000,0,0,Some College,Skilled Labor,1,2,WI,53266,0
32,S,M,48000,0,0,Some College,Skilled Labor,1,1,WI,53270,0
69,M,M,61000,5,0,Bachelors,Management,0,3,WI,53271,1
42,M,F,63000,1,1,Graduate Degree,Skilled Labor,1,0,WI,53274,0
44,S,M,69000,3,0,Graduate Degree,Professional,1,0,WI,53282,1
50,M,F,69000,1,0,Graduate Degree,Skilled Labor,1,0,WI,53283,1
49,M,F,64000,4,0,Graduate Degree,Skilled Labor,1,0,WI,53284,0
80,S,F,68000,4,0,Bachelors,Management,0,2,WI,53284,0
67,M,F,24000,3,0,Some High School,Office,1,2,WI,53286,0
28,M,F,41000,0,0,High School,Skilled Labor,1,2,WI,53287,0
47,M,F,68000,1,0,Some College,Skilled Labor,1,1,WI,53290,1
58,M,M,67000,3,0,Graduate Degree,Management,1,2,WI,53290,1
43,M,F,67000,2,2,Bachelors,Skilled Labor,1,1,WI,53291,1
70,M,M,70000,2,1,Some College,Professional,0,1,WI,53296,0
57,M,M,30000,2,0,High School,Skilled Labor,1,2,WI,53300,1
67,M,F,23000,2,0,High School,Labor,0,2,WI,53302,0
54,S,F,63000,1,0,Bachelors,Professional,0,1,WI,53305,1
31,S,M,64000,0,0,Some College,Professional,0,2,WI,53308,0
49,M,F,77000,4,2,Bachelors,Skilled Labor,1,2,WI,53309,1
63,M,F,67000,4,2,Some College,Professional,1,2,WI,53311,1
50,S,M,51000,1,0,Graduate Degree,Skilled Labor,1,0,WI,53313,0
70,M,F,22000,1,0,Some College,Office,1,1,WI,53315,1
29,M,M,58000,0,0,High School,Skilled Labor,1,2,WI,53316,1
32,S,F,54000,0,0,High School,Skilled Labor,1,2,WI,53317,0
59,S,F,25000,3,0,Some High School,Office,0,2,WI,53319,0
30,S,F,51000,0,0,High School,Skilled Labor,0,2,WI,53320,0
28,S,M,67000,1,0,Graduate Degree,Professional,1,0,WI,53321,1
53,M,F,80000,4,3,Bachelors,Management,1,0,WI,53323,0
44,S,F,96000,0,0,Some College,Professional,0,1,WI,53327,1
46,S,M,75000,2,0,Graduate Degree,Professional,0,1,WI,53327,1
64,M,M,69000,2,0,Some High School,Skilled Labor,1,2,WI,53327,0
48,S,F,77000,1,0,Bachelors,Professional,0,1,WI,53329,1
74,M,F,94000,5,0,Bachelors,Management,1,2,WI,53331,0
50,S,M,84000,4,4,Some College,Professional,1,3,WI,53335,1
44,S,F,68000,0,0,Graduate Degree,Professional,0,1,WI,53337,1
81,S,M,113000,2,3,Graduate Degree,Management,1,3,WI,53337,0
44,S,M,42000,4,3,High School,Skilled Labor,1,2,WI,53343,0
42,M,M,72000,3,3,Bachelors,Skilled Labor,1,0,WI,53345,0
69,M,M,64000,2,1,High School,Professional,1,2,WI,53345,0
54,S,F,51000,4,4,Some College,Office,1,2,WI,53346,0
50,S,M,81000,0,0,Graduate Degree,Skilled Labor,0,0,WI,53348,0
48,M,M,63000,1,0,Graduate Degree,Professional,1,0,WI,53350,1
46,S,F,86000,5,4,Some College,Professional,0,4,WI,53352,0
66,M,F,66000,3,0,Graduate Degree,Management,1,2,WI,53352,0
35,M,F,51000,0,0,High School,Skilled Labor,1,2,WI,53353,0
60,M,M,58000,1,0,Some College,Office,1,1,WI,53357,1
62,M,M,26000,2,1,Some High School,Office,0,2,WI,53359,0
47,M,M,73000,1,0,Graduate Degree,Skilled Labor,1,0,WI,53361,0
82,M,M,88000,5,0,Bachelors,Management,1,2,WI,53361,0
63,S,M,51000,2,1,High School,Professional,1,2,WI,53362,0
43,M,M,74000,0,0,Graduate Degree,Professional,1,0,WI,53363,0
61,S,M,66000,2,0,High School,Professional,0,2,WI,53365,1
35,S,F,29000,0,0,High School,Skilled Labor,1,2,WI,53369,1
32,M,F,76000,1,1,Graduate Degree,Skilled Labor,1,0,WI,53373,1
42,M,M,94000,4,3,High School,Professional,1,2,WI,53374,0
52,M,F,63000,1,0,Bachelors,Professional,0,1,WI,53374,1
62,M,M,68000,2,0,High School,Professional,1,2,WI,53381,0
51,M,M,51000,1,0,Some College,Office,1,1,WI,53382,1
40,S,M,72000,0,0,Graduate Degree,Professional,0,0,WI,53385,0
65,M,M,62000,2,1,Some College,Professional,0,2,WI,53385,0
58,M,M,60000,2,1,Some College,Professional,1,1,WI,53386,0
69,M,F,52000,1,0,Some College,Office,0,1,WI,53386,0
31,S,F,47000,0,0,High School,Skilled Labor,0,2,WI,53387,0
42,M,F,71000,1,0,Some College,Skilled Labor,1,1,WI,53387,0
49,S,M,48000,0,0,Bachelors,Professional,1,1,WI,53388,1
47,M,F,56000,0,0,Bachelors,Professional,0,1,WI,53389,1
62,M,M,74000,3,2,Some College,Professional,1,1,WI,53392,0
39,M,F,41000,1,0,Graduate Degree,Skilled Labor,1,0,WI,53393,0
40,M,M,95000,4,3,Some College,Professional,1,2,WI,53393,0
53,S,F,48000,3,3,Some College,Office,0,2,WI,53396,0
63,M,M,67000,4,0,Bachelors,Management,1,2,WI,53397,0
64,M,M,60000,2,1,Some College,Professional,1,2,WI,53397,0
53,S,F,111000,0,0,Graduate Degree,Management,0,4,WI,53399,0
72,M,F,68000,5,0,Graduate Degree,Management,1,2,WI,53402,1
47,M,M,57000,4,3,High School,Skilled Labor,1,3,WI,53403,0
50,M,M,63000,2,0,Graduate Degree,Professional,1,0,WI,53407,0
32,M,F,40000,0,0,High School,Skilled Labor,1,2,WI,53408,0
58,M,M,21000,1,0,Bachelors,Skilled Labor,1,1,WI,53410,0
66,S,F,71000,5,2,Some College,Professional,1,2,WI,53410,1
52,M,M,27000,2,1,Some High School,Office,1,2,WI,53421,0
59,S,M,46000,3,0,Some College,Professional,0,2,WI,53421,1
49,S,F,71000,0,0,Graduate Degree,Professional,0,0,WI,53427,0
48,M,M,60000,1,0,Some College,Skilled Labor,0,1,WI,53434,1
40,S,M,41000,0,0,High School,Skilled Labor,0,2,WI,53436,1
54,S,M,43000,0,0,Bachelors,Professional,0,1,WI,53436,0
39,M,M,30000,0,0,High School,Skilled Labor,1,2,WI,53440,0
41,S,F,60000,3,2,Graduate Degree,Professional,1,0,WI,53452,1
40,S,M,45000,0,0,Some College,Skilled Labor,0,1,WI,53453,1
64,M,F,74000,2,1,Some College,Professional,1,1,WI,53456,0
43,S,M,76000,0,0,Some College,Professional,1,2,WI,53460,1
55,S,M,81000,0,0,Bachelors,Management,0,1,WI,53460,0
37,S,F,53000,0,0,High School,Skilled Labor,0,2,WI,53461,1
47,M,F,61000,1,0,Some College,Skilled Labor,1,1,WI,53462,1
38,S,F,58000,0,0,High School,Skilled Labor,1,2,WI,53463,0
54,M,F,46000,2,0,Some College,Office,0,1,WI,53464,0
83,M,F,63000,3,0,Graduate Degree,Management,1,2,WI,53465,0
41,M,M,110000,1,2,Some College,Professional,1,3,WI,53466,1
53,M,M,102000,1,2,Some College,Professional,1,3,WI,53469,1
28,S,F,47000,0,0,Some College,Skilled Labor,0,1,WI,53472,1
37,M,F,64000,0,0,Some College,Professional,1,2,WI,53475,0
62,S,F,76000,4,3,Bachelors,Professional,1,0,WI,53475,0
57,S,M,60000,2,0,High School,Professional,1,2,WI,53479,0
57,M,F,41000,1,0,Some College,Office,1,1,WI,53481,0
48,S,F,68000,4,2,Bachelors,Skilled Labor,0,2,WI,53487,1
56,M,M,77000,2,1,Some College,Professional,1,1,WI,53491,1
54,S,F,43000,0,0,Some College,Skilled Labor,0,1,WI,53492,1
43,M,F,66000,1,0,Graduate Degree,Professional,1,0,WI,53495,0
46,S,F,108000,1,2,Some College,Professional,0,3,WI,53495,0
60,M,M,69000,3,1,High School,Professional,1,0,WI,53495,0
44,S,M,93000,4,4,Bachelors,Management,1,1,WI,53496,1
83,M,F,13000,4,0,Some High School,Office,0,2,WI,53497,0
45,S,F,49000,4,4,High School,Skilled Labor,1,3,WI,53498,1
54,M,F,96000,1,0,Some College,Skilled Labor,1,1,WI,53500,1
66,S,F,27000,2,0,High School,Office,0,2,WI,53502,0
45,S,M,81000,4,3,High School,Professional,0,2,WI,53505,0
65,M,M,20000,5,0,Some High School,Skilled Labor,1,3,WI,53505,0
30,M,M,104000,1,2,Some College,Professional,1,4,WI,53508,0
55,M,M,44000,2,2,Bachelors,Skilled Labor,1,0,WI,53509,1
66,M,M,71000,2,1,Bachelors,Management,1,0,WI,53511,0
32,M,F,56000,0,0,High School,Skilled Labor,1,2,WI,53513,0
69,M,F,26000,2,0,High School,Skilled Labor,0,2,WI,53518,0
65,M,F,42000,3,0,Some College,Professional,1,2,WI,53520,0
46,S,F,62000,0,0,Graduate Degree,Skilled Labor,1,0,WI,53521,0
51,S,F,70000,4,2,Bachelors,Professional,1,2,WI,53521,1
57,M,F,21000,2,0,High School,Skilled Labor,0,2,WI,53524,0
47,S,F,73000,3,0,Graduate Degree,Management,1,2,WI,53526,1
49,S,F,64000,1,0,Bachelors,Professional,1,1,WI,53530,1
40,M,M,68000,2,0,High School,Professional,1,2,WI,53533,0
45,M,F,113000,2,0,Bachelors,Management,1,2,WI,53534,1
49,S,F,76000,1,0,Graduate Degree,Skilled Labor,1,0,WI,53536,0
44,M,F,68000,1,0,Graduate Degree,Professional,1,0,WI,53537,0
52,M,M,59000,0,0,Graduate Degree,Skilled Labor,1,0,WI,53538,0
89,M,F,60000,3,0,Bachelors,Management,1,2,WI,53542,0
62,S,M,64000,4,0,Bachelors,Management,1,2,WI,53548,0
66,M,F,48000,4,0,High School,Professional,1,2,WI,53549,0
46,S,M,73000,0,0,Graduate Degree,Skilled Labor,0,0,WI,53550,0
52,M,M,43000,4,2,High School,Skilled Labor,1,2,WI,53551,0
55,S,M,94000,2,0,Some High School,Skilled Labor,0,2,WI,53553,0
67,M,F,60000,3,0,Graduate Degree,Management,1,2,WI,53553,0
36,M,F,45000,0,0,High School,Skilled Labor,1,2,WI,53555,0
57,M,F,92000,3,2,Some College,Professional,0,0,WI,53556,1
43,S,F,35000,3,0,Some High School,Office,0,2,WI,53557,0
57,M,F,72000,3,1,High School,Professional,1,1,WI,53557,1
65,S,F,72000,2,0,High School,Professional,1,2,WI,53558,0
68,S,M,65000,2,1,Some College,Professional,1,2,WI,53558,0
52,S,M,61000,0,0,Some College,Professional,0,2,WI,53559,1
67,M,M,72000,5,4,Graduate Degree,Professional,1,1,WI,53560,0
60,S,M,74000,4,0,Bachelors,Management,0,2,WI,53563,0
67,M,F,71000,2,1,Some College,Professional,1,2,WI,53564,0
45,M,F,56000,4,4,High School,Skilled Labor,1,3,WI,53565,0
64,S,F,55000,4,0,Bachelors,Management,1,2,WI,53566,0
74,S,M,72000,3,0,Graduate Degree,Management,1,2,WI,53569,1
33,M,M,43000,3,3,Some College,Office,1,0,WI,53570,0
51,M,F,75000,1,0,Bachelors,Professional,1,1,WI,53571,1
90,M,M,49000,3,0,Some College,Professional,0,2,WI,53571,0
38,S,M,22000,0,0,Some College,Skilled Labor,1,2,WI,53573,0
45,M,M,86000,5,0,Graduate Degree,Skilled Labor,1,0,WI,53574,1
51,M,F,80000,4,3,High School,Professional,1,2,WI,53576,0
47,S,F,102000,3,2,Some College,Professional,1,4,WI,53577,1
48,S,M,51000,0,0,Graduate Degree,Skilled Labor,1,0,WI,53579,1
28,S,F,63000,0,0,Some College,Skilled Labor,1,1,WI,53580,0
40,M,F,116000,3,2,Some College,Professional,1,4,WI,53580,0
53,M,F,102000,1,2,Some College,Professional,1,3,WI,53581,1
61,M,F,68000,2,1,Some College,Professional,0,1,WI,53581,0
86,M,F,112000,2,3,Graduate Degree,Management,1,4,WI,53583,0
40,S,F,76000,4,4,Bachelors,Skilled Labor,0,2,WI,53584,0
48,M,M,62000,2,0,Graduate Degree,Professional,1,0,WI,53584,1
88,M,F,45000,4,0,High School,Professional,1,2,WI,53586,0
60,S,F,76000,2,1,High School,Professional,1,2,WI,53589,1
70,M,F,62000,3,1,Bachelors,Management,1,1,WI,53589,0
76,M,M,70000,3,0,Graduate Degree,Management,0,2,WI,53589,0
60,S,F,81000,2,0,Some High School,Skilled Labor,0,2,WI,53593,0
49,M,F,55000,4,3,High School,Skilled Labor,1,2,WI,53597,0
38,S,M,40000,0,0,Some High School,Office,0,2,WI,53600,0
63,M,M,43000,1,0,Some College,Office,1,1,WI,53603,1
68,S,F,69000,2,0,High School,Professional,1,2,WI,53604,0
68,M,M,63000,4,0,Bachelors,Management,0,2,WI,53613,0
29,M,F,35000,0,0,High School,Skilled Labor,1,2,WI,53614,0
43,M,M,67000,4,2,Bachelors,Professional,1,2,WI,53615,1
44,S,F,70000,0,0,Graduate Degree,Professional,0,1,WI,53617,1
45,M,M,21000,1,0,High School,Office,1,1,WI,53617,1
46,M,F,42000,3,3,Some College,Office,1,1,WI,53619,0
53,S,M,43000,0,0,Some College,Skilled Labor,0,1,WI,53619,1
66,M,F,65000,2,1,Some College,Professional,1,0,WI,53624,0
68,M,M,41000,5,0,High School,Professional,1,4,WI,53625,1
53,M,F,115000,4,1,Bachelors,Management,1,4,WI,53626,0
35,S,F,83000,0,0,Bachelors,Management,0,1,WI,53628,1
87,S,M,60000,3,0,Graduate Degree,Management,0,2,WI,53629,0
41,S,F,93000,5,4,Some College,Professional,1,3,WI,53631,1
55,M,F,54000,0,0,Graduate Degree,Skilled Labor,1,0,WI,53633,0
75,M,F,66000,3,0,Graduate Degree,Management,0,2,WI,53633,0
51,M,F,117000,5,2,Some College,Professional,1,1,WI,53641,0
64,S,M,76000,4,3,Bachelors,Professional,0,0,WI,53644,1
66,M,M,83000,1,0,Some College,Skilled Labor,1,1,WI,53644,1
30,S,M,60000,0,0,Some College,Professional,0,2,WI,53652,1
42,M,F,69000,1,0,Graduate Degree,Professional,1,0,WI,53652,0
66,S,F,67000,2,1,Some College,Professional,1,2,WI,53654,1
68,S,M,64000,2,1,Some College,Professional,1,2,WI,53654,0
47,M,F,90000,0,0,Bachelors,Management,0,1,WI,53655,1
36,M,F,52000,0,0,Some College,Skilled Labor,1,1,WI,53658,0
36,M,M,56000,0,0,High School,Skilled Labor,1,2,WI,53658,0
77,M,F,77000,2,0,Graduate Degree,Management,1,2,WI,53662,0
58,M,M,71000,4,0,Bachelors,Management,1,2,WI,53663,0
62,M,M,75000,5,4,Bachelors,Professional,1,1,WI,53665,0
61,M,M,76000,3,1,Some High School,Skilled Labor,1,3,WI,53672,1
69,M,M,35000,3,0,Some High School,Labor,0,2,WI,53674,0
52,M,M,75000,2,0,High School,Professional,0,2,WI,53680,1
60,M,F,94000,2,1,Bachelors,Management,0,1,WI,53680,0
36,S,F,43000,0,0,Some High School,Office,0,2,WI,53681,0
48,M,F,84000,5,5,Some College,Professional,1,3,WI,53681,1
42,M,F,66000,4,3,Bachelors,Professional,1,0,WI,53682,0
58,S,M,22000,2,0,High School,Skilled Labor,1,2,WI,53684,1
66,M,M,94000,2,1,Some College,Professional,1,1,WI,53684,0
47,S,M,22000,1,0,High School,Office,0,1,WI,53686,0
46,S,F,33000,3,0,Some High School,Office,1,2,WI,53689,0
53,S,M,45000,2,2,Bachelors,Skilled Labor,1,0,WI,53689,1
59,M,M,73000,2,1,High School,Professional,0,2,WI,53693,1
59,S,F,82000,4,0,Graduate Degree,Skilled Labor,0,0,WI,53694,0
39,S,F,55000,0,0,Some College,Skilled Labor,0,1,WI,53699,0
41,S,F,72000,0,0,Some College,Skilled Labor,1,2,WI,53701,0
91,M,F,95000,5,0,Bachelors,Management,0,2,WI,53701,0
46,S,M,60000,1,0,Graduate Degree,Professional,1,0,WI,53702,1
64,S,F,20000,3,0,Some High School,Office,0,2,WI,53703,0
32,M,F,65000,0,0,Some College,Professional,1,2,WI,53705,0
32,M,F,21000,0,0,High School,Skilled Labor,1,2,WI,53708,0
56,M,M,73000,2,1,High School,Professional,1,2,WI,53708,0
69,S,M,26000,4,0,High School,Professional,0,2,WI,53708,0
56,M,F,40000,1,0,Some College,Office,1,1,WI,53710,1
91,M,F,93000,5,0,Bachelors,Management,1,2,WI,53711,0
47,M,M,103000,1,2,Some College,Professional,1,4,WI,53713,1
48,M,M,76000,4,0,Graduate Degree,Skilled Labor,1,0,WI,53713,0
61,M,M,96000,5,0,Bachelors,Management,1,2,WI,53714,0
45,M,F,107000,0,3,Some College,Professional,1,0,WI,53716,0
46,M,F,43000,1,1,Bachelors,Skilled Labor,1,0,WI,53716,1
52,S,M,67000,0,0,Graduate Degree,Professional,1,0,WI,53717,1
50,M,M,49000,3,3,Some College,Office,1,2,WI,53718,0
54,M,F,96000,4,3,High School,Professional,1,1,WI,53718,0
32,S,F,53000,0,0,High School,Skilled Labor,0,2,WI,53720,1
75,M,M,65000,3,0,Bachelors,Management,1,2,WI,53720,0
